subtype,date,title
CENTER NEWS,"AUGUST 26, 2022",Using Genomics to Reevaluate Conservation Units for the Columbia Spotted Frog
CENTER NEWS,"AUGUST 24, 2022",Mapping Climate Refuges for Foothill Yellow-legged Frogs
PHOTOGRAPHY,"MAY 4, 2022",Oregon Spotted Frog
PHOTOGRAPHY,"JUNE 1, 2022",Surveying for Oregon Spotted Frogs
PHOTOGRAPHY,"APRIL 27, 2022",Oregon Spotted Frog
PHOTOGRAPHY,"APRIL 27, 2022",Oregon Spotted Frog
CENTER NEWS,"JUNE 14, 2022",Movement and Habitat Use by Oregon Spotted Frogs in a Large Reservoir in Oregon
PHOTOGRAPHY,"MAY 4, 2022",Oregon Spotted Frog in a Pond
DATA RELEASE,"JUNE 27, 2022",Rarity and Climate Sensitivity index and components of 90 species of frogs and toads native to the conterminous United States
FEATURED FILMS AND SHORTS,"MARCH 31, 2021",Red-Legged Frog Tadpoles Explore Their New Home
CENTER NEWS,"APRIL 1, 2022",Pathology Case of the Month - Green Frog
PHOTOGRAPHY,"JUNE 17, 2021",Northern cricket frog on wet leaves
PUBLICATION,"MAY 4, 2022",Amphibian mucus triggers a developmental transition in the frog-killing chytrid fungus
PODCASTS,"AUGUST 23, 2019",Outstanding in the Field (Ep 4): Amphibian Surveys â€“ Call of the Frog
PHOTOGRAPHY,"MAY 5, 2022",Western Toads Mating
PHOTOGRAPHY,"DECEMBER 31, 2015",Southern Leopard Frog
DATA RELEASE,"APRIL 6, 2022","Oregon spotted frog (Rana pretiosa) telemetry and habitat use at Crane Prairie Reservoir in Oregon, USA"
PHOTOGRAPHY,"APRIL 1, 2020",Green tree frog in wetland vegetation
PHOTOGRAPHY,"MARCH 28, 2022",Photographs from external examination of a green frog (Lithobates clamitans) tadpole
RESEARCH,"JULY 23, 2020",Acoustic Monitoring for Two Rare Frog Species in Northwest Louisiana
PHOTOGRAPHY,"MARCH 28, 2022",Liver from a Green Frog (Lithobates clamitans) tadpole
PUBLICATION,"APRIL 6, 2022",Importance of local weather and environmental gradients on demography of a broadly distributed temperate frog
DATA RELEASE,"MARCH 1, 2022","Biomarkers of laboratory-exposed Northern Leopard frogs to neonicotinoids: DNA cell cycle, fragmentation, and genome size"
PHOTOGRAPHY,"MAY 21, 2013","Pacific chorus frog found near Corvallis, OR"
PUBLICATION,"MARCH 2, 2022",Defining relevant conservation targets for the endangered Southern California distinct population segment of the mountain yellow-legged frog (Rana muscosa)
SLIDESHOW,"AUGUST 3, 2022",Animal Life
PHOTOGRAPHY,"DECEMBER 31, 2014",Northern Leopard Frog
CENTER NEWS,"JUNE 10, 2019",New Study: Distribution of the Foothill Yellow-Legged Frog in Oregon
CENTER NEWS,"NOVEMBER 23, 2020","From Satellites to Frogs: Quantifying Ecohydrological Change, Drought Mitigation, and Population Demography in Desert Meadows"
PUBLICATION,"DECEMBER 16, 2021",Evaluating hydrophones for detecting underwater-calling frogs
